time,Temp
19191,33.01
19191,33.98
19191,32.52
19191,33.01
19191,34.96
19191,32.03
19191,32.52
19191,35.94
19191,31.54
19191,32.52
19191,31.54
19191,35.94
19191,31.54
19191,30.57
19191,33.01
19191,34.47
19191,34.47
19191,32.03
19191,31.05
19191,33.5
19191,32.03
19191,33.98
19191,35.94
19191,34.96
19191,33.5
19191,33.01
19191,30.57
19191,33.98
19191,33.5
19191,33.01
19191,32.52
19191,31.05
19191,33.01
19191,33.01
19191,33.98
19191,32.52
19191,31.05
19191,33.01
19191,32.52
19191,31.54
19191,33.5
19191,33.01
19191,32.52
19191,34.96
19191,31.05
19191,31.54
19191,32.52
19191,33.98
19191,33.98
19191,32.52
19191,32.52
19191,33.5
19191,33.01
19191,30.08
19191,33.01
19191,33.98
19191,34.47
19191,32.52
19191,34.47
19191,32.52
19191,32.03
19191,32.03
19191,31.54
19191,33.5
19191,33.5
19191,35.45
19191,33.98
19191,32.03
19191,33.98
19191,30.57
19191,32.03
19191,33.01
19191,30.57
19191,31.05
19191,32.03
19191,32.03
19191,31.05
19191,34.47
19191,32.52
19191,33.5
19191,31.54
19191,33.01
19191,33.01
19191,33.98
19191,33.5
19191,31.05
19191,31.54
19191,32.52
19191,34.96
19191,34.47
19191,33.5
19191,33.5
19191,33.98
19191,32.03
19191,35.94
19191,33.5
19191,32.52
19191,32.52
19191,33.01
19191,33.98
19191,32.03
19191,34.47
19191,34.47
19191,33.5
19191,30.57
19191,33.5
19191,33.5
19191,31.05
19191,33.01
19191,33.5
19191,32.52
19191,32.52
19191,33.98
19191,31.05
19191,33.01
19191,32.03
19191,33.01
19191,33.01
19191,32.03
19191,33.5
19191,33.01
19191,31.05
19191,32.03
19191,33.98
19191,33.5
19191,35.45
19191,33.98
19191,33.5
19191,34.96
19191,33.5
19191,32.52
19191,33.01
19191,32.03
19191,33.01
19191,33.01
19191,33.01
19191,33.01
19191,32.52
19191,30.57
19191,33.01
19191,32.03
19191,32.52
19191,32.03
19191,31.05
19191,32.52
19191,32.52
19191,32.52
19191,31.05
19191,32.52
19191,31.54
19191,33.01
19191,32.03
19191,30.57
19191,32.03
19191,32.03
19191,30.57
19191,32.03
19191,33.01
19191,33.01
19191,33.01
19191,33.5
19191,34.47
19191,31.05
19191,32.52
19191,33.98
19191,30.57
19191,33.01
19191,33.01
19191,33.01
19191,33.01
19191,35.45
19191,33.98
19191,33.01
19191,32.03
19191,32.52
19191,31.05
19191,33.5
19191,33.01
19191,32.52
19191,32.03
19191,33.5
19191,33.01
19191,33.01
19191,33.5
19191,34.47
19191,31.05
19191,34.47
19191,34.96
19191,33.01
19191,33.5
19191,32.03
19191,32.52
19191,32.52
19191,32.52
19191,33.01
19191,32.52
19191,32.52
19191,31.54
19191,32.52
19191,31.05
19191,33.01
19191,32.52
19191,31.05
19191,33.01
19191,32.03
19191,33.01
19191,32.52
19191,33.5
19191,31.54
19191,33.5
19191,32.52
19191,33.98
19191,32.52
19191,32.52
19191,34.47
19191,32.03
19191,32.03
19191,32.03
19191,33.01
19191,34.47
19191,32.52
19191,31.54
19191,33.5
19191,31.54
19191,31.54
19191,33.98
19191,35.94
19191,33.5
19191,32.52
19191,30.57
19191,32.03
19191,33.5
19191,33.5
19191,33.01
19191,32.52
19191,34.47
19191,32.52
19191,33.5
19191,33.5
19191,32.52
19191,31.05
19191,30.57
19191,34.96
19191,31.54
19191,32.03
19191,33.01
19191,33.98
19191,32.52
19191,33.01
19191,33.5
19191,33.5
19191,31.05
19191,33.5
19191,33.98
19191,33.98
19191,32.52
19191,32.03
19191,33.01
19191,32.03
19191,33.01
19191,32.03
19191,32.52
19191,33.98
19191,33.5
19191,34.47
19191,33.01
19191,33.5
19191,32.03
19191,33.98
19191,31.54
19191,31.05
19191,33.98
19191,32.03
19191,33.01
19191,32.52
19191,33.98
19191,32.52
19191,33.01
19191,33.01
19191,33.98
19191,33.5
19191,32.52
19191,33.5
19191,33.98
19191,35.45
19191,33.01
19191,33.01
19191,30.57
19191,31.54
19191,32.52
19191,33.01
19191,33.01
19191,35.45
19191,33.5
19191,31.54
19191,30.57
19191,33.01
19191,33.01
19191,33.01
19191,32.52
19191,32.03
19191,33.01
19191,33.01
19191,33.01
19191,31.05
19191,32.03
19191,32.52
19191,32.52
19191,33.01
19191,31.54
19191,33.01
19191,33.01
19191,31.05
19191,32.52
19191,32.52
19191,32.52
19191,33.5
19191,32.52
19191,31.54
19191,32.52
19191,32.52
19191,33.5
19191,33.5
19191,32.52
19191,32.52
19191,32.52
19191,32.52
19191,32.52
19191,33.5
19191,32.52
19191,33.01
19191,32.03
19191,33.01
19191,32.52
19191,33.01
19191,33.5
19191,33.01
19191,32.03
19191,33.01
19191,32.52
19191,32.52
19191,33.5
19191,33.5
19191,33.01
19191,33.01
19191,33.01
19191,33.01
19191,32.52
19191,32.52
19191,31.54
19191,31.54
19191,32.03
19191,32.52
19191,32.52
19191,32.52
19191,32.52
19191,32.52
19191,33.01
19191,33.98
19191,32.03
19191,32.52
19191,32.52
19191,31.54
19191,32.52
19191,32.52
19191,32.52
19191,32.52
19191,32.03
19191,33.01
19191,33.5
19191,32.52
19191,32.52
19191,33.01
19191,32.52
19191,32.03
19191,32.52
19191,33.5
19191,32.52
19191,33.01
19191,33.01
19191,31.05
19191,33.5
19191,33.5
19191,32.03
19191,32.03
19191,32.52
19191,33.01
19191,32.52
19191,32.52
19191,32.03
19191,32.03
19191,33.01
19191,33.5
19191,32.03
19191,33.5
19191,32.03
19191,32.52
19191,33.01
19191,32.03
19191,32.03
19191,32.52
19191,32.52
19191,32.52
19191,32.03
19191,32.03
19191,32.52
19191,33.01
19191,32.52
19191,31.05
19191,32.03
19191,30.57
19191,32.52
19191,32.03
19191,32.03
19191,32.52
19191,33.98
19191,31.54
19191,32.03
19191,32.52
19191,32.52
19191,33.01
19191,33.01
19191,32.03
19191,34.47
19191,33.01
19191,31.05
19191,32.03
19191,33.01
19191,31.54
19191,31.54
19191,30.08
19191,31.54
19191,31.54
19191,33.01
19191,32.03
19191,32.03
19191,32.52
19191,32.03
19191,32.03
19191,32.03
19191,32.52
19191,33.01
19191,32.03
19191,32.03
19191,33.01
19191,33.01
19191,31.54
19191,32.52
19191,32.03
19191,32.03
19191,32.52
19191,35.94
19191,31.54
19191,35.45
19191,34.47
19191,31.54
19191,32.03
19191,32.52
19191,33.98
19191,33.98
19191,32.52
19191,33.5
19191,33.01
19191,31.05
19191,33.01
19191,32.52
19191,31.05
19191,32.52
19191,32.52
19191,31.54
19191,32.03
19191,32.52
19191,33.01
19191,32.52
19191,33.01
19191,33.5
19191,31.54
19191,32.03
19191,33.5
19191,34.47
19191,33.98
19191,33.01
19191,32.03
19191,34.47
19191,32.52
19191,31.54
19191,31.05
19191,33.01
19191,32.52
19191,30.57
19191,33.5
19191,32.52
19191,32.52
19191,32.52
19191,34.96
19191,32.03
19191,33.01
19191,32.52
19191,32.03
19191,33.5
19191,33.01
19191,33.98
19191,33.98
19191,32.03
19191,32.52
19191,33.01
19191,32.52
19191,33.01
19191,33.01
19191,33.5
19191,32.52
19191,34.47
19191,32.03
19191,32.03
19191,33.01
19191,31.54
19191,33.01
19191,32.52
19191,34.96
19191,33.5
19191,32.52
19191,32.03
19191,32.52
19191,32.52
19191,33.5
19191,33.5
19191,32.52
19191,31.54
19191,33.5
19191,33.98
19191,33.01
19191,34.47
19191,31.54
19191,33.01
19191,31.54
19191,33.01
19191,31.05
19191,32.52
19191,31.54
19191,34.96
19191,31.05
19191,33.5
19191,33.01
19191,33.5
19191,31.54
19191,33.01
19191,32.52
19191,33.98
19191,32.03
19191,32.52
19191,32.52
19191,32.03
19191,32.52
19191,33.01
19191,34.96
19191,32.52
19191,33.5
19191,33.5
19191,31.54
19191,32.03
19191,31.54
19191,33.01
19191,33.5
19191,32.03
19191,33.01
19191,32.52
19191,31.54
19191,33.98
19191,32.52
19191,33.5
19191,32.03
19191,33.98
19191,32.52
19191,33.01
19191,32.52
19191,31.54
19191,33.5
19191,32.52
19191,31.54
19191,33.01
19191,33.5
19191,33.01
19191,33.01
19191,33.01
19191,32.52
19191,33.5
19191,32.03
19191,31.05
19191,32.52
19191,33.01
19191,32.03
19191,32.03
19191,33.01
19191,32.52
19191,32.52
19191,32.52
19191,35.94
19191,32.03
19191,32.52
19191,32.03
19191,31.54
19191,33.01
19191,32.52
19191,32.52
19191,33.5
19191,32.03
19191,33.98
19191,33.5
19191,33.98
19191,33.01
19191,31.54
19191,33.01
19191,32.52
19191,31.54
19191,32.03
19191,33.5
19191,33.01
19191,33.98
19191,33.01
19191,32.03
19191,33.5
19191,33.5
19191,33.5
19191,32.52
19191,31.54
19191,32.52
19191,32.52
19191,32.52
19191,30.57
19191,31.54
19191,33.01
19191,33.01
19191,32.52
19191,32.03
19191,33.5
19191,32.03
19191,34.47
19191,33.5
19191,32.03
19191,33.01
19191,33.01
19191,31.54
19191,31.05
19191,34.47
19191,33.01
19191,33.01
19191,35.45
19191,32.52
19191,32.52
19191,33.98
19191,31.05
19191,32.52
19191,31.54
19191,33.5
19191,33.01
19191,34.47
19191,31.54
19191,33.01
19191,33.5
19191,33.98
19191,33.98
19191,33.01
19191,34.96
19191,32.03
19191,32.03
19191,33.01
19191,32.52
19191,30.57
19191,32.03
19191,33.01
19191,33.5
19191,33.5
19191,32.52
19191,34.47
19191,33.5
19191,32.52
19191,31.54
19191,32.52
19191,33.01
19191,33.5
19191,32.52
19191,32.52
19191,32.03
19191,34.96
19191,33.01
19191,32.52
19191,33.01
19191,31.54
19191,32.52
19191,31.54
19191,33.01
19191,33.01
19191,32.03
19191,31.05
19191,32.03
19191,33.5
19191,33.01
19191,33.01
19191,34.47
19191,33.01
19191,33.01
19191,30.57
19191,33.01
19191,32.03
19191,32.52
19191,33.01
19191,31.54
19191,33.5
19191,32.52
19191,33.98
19191,33.01
19191,31.05
19191,33.5
19191,33.98
19191,33.01
19191,33.5
19191,32.52
19191,32.52
19191,31.54
19191,33.01
19191,33.5
19191,33.5
19191,32.52
19191,33.01
19191,32.03
19191,33.5
19191,33.01
19191,32.03
19191,33.98
19191,32.52
19191,32.52
19191,31.05
19191,33.01
19191,33.98
19191,34.47
19191,31.05
19191,32.52
19191,32.52
19191,32.52
19191,32.03
19191,32.03
19191,33.01
19191,33.5
19191,33.01
19191,31.54
19191,32.52
19191,32.52
19191,33.5
19191,33.01
19191,32.03
19191,32.52
19191,33.98
19191,33.5
19191,32.03
19191,33.5
19191,33.01
19191,33.01
19191,33.5
19191,33.5
19191,33.01
19191,33.01
19191,31.05
19191,33.5
19191,33.01
19191,33.98
19191,32.52
19191,31.54
19191,31.05
19191,32.03
19191,33.01
19191,33.98
19191,32.52
19191,33.5
19191,31.05
19191,33.01
19191,33.01
19191,32.52
19191,33.5
19191,33.5
19191,33.98
19191,32.52
19191,32.52
19191,33.01
19191,32.52
19191,33.01
19191,32.03
19191,32.52
19191,32.52
19191,32.52
19191,33.01
19191,33.5
19191,30.57
19191,33.01
19191,32.03
19191,33.01
19191,32.52
19191,33.5
19191,33.01
19191,33.01
19191,32.52
19191,32.03
19191,33.98
19191,33.01
19191,32.52
19191,32.52
19191,33.98
19191,33.98
19191,33.5
19191,33.01
19191,33.5
19191,32.52
19191,33.98
19191,31.54
19191,34.47
19191,33.5
19191,32.03
19191,34.47
19191,32.52
19191,33.01
19191,33.01
19191,32.52
19191,33.01
19191,34.47
19191,32.52
19191,33.01
19191,33.5
19191,33.01
19191,32.52
19191,33.5
19191,31.54
19191,32.52
19191,33.5
19191,33.01
19191,32.03
19191,30.57
19191,32.52
19191,32.03
19191,33.5
19191,32.03
19191,32.52
19191,32.03
19191,32.03
19191,33.98
19191,31.05
19191,32.03
19191,33.5
19191,31.54
19191,33.98
19191,31.05
19191,32.03
19191,32.52
19191,33.5
19191,33.98
19191,32.03
19191,32.03
19191,32.03
19191,31.05
19191,30.57
19191,32.52
19191,32.03
19191,31.54
19191,31.05
19191,32.03
19191,32.52
19191,32.03
19191,31.54
19191,33.01
19191,32.52
19191,33.01
19191,31.54
19191,33.5
19191,33.5
19191,30.08
19191,32.03
19191,33.5
19191,33.01
19191,33.01
19191,31.54
19191,33.01
19191,32.52
19191,31.05
19191,31.54
19191,31.05
19191,32.03
19191,33.01
19191,32.52
19191,33.01
19191,33.01
19191,33.01
19191,33.98
19191,33.98
19191,31.54
19191,33.5
19191,32.03
19191,32.52
19191,30.57
19191,30.57
19191,33.01
19191,33.5
19191,32.03
19191,32.03
19191,32.52
19191,32.03
19191,32.52
19191,31.05
19191,34.47
19191,32.52
19191,32.52
19191,32.52
19191,31.54
19191,32.52
19191,32.03
19191,32.52
19191,32.03
19191,33.01
19191,32.52
19191,32.52
19191,33.01
19191,33.01
19191,31.05
19191,32.52
19191,33.5
19191,34.47
19191,32.03
19191,33.98
19191,32.03
19191,30.08
19191,32.52
19191,33.01
19191,31.05
19191,31.05
19191,32.52
19191,31.54
19191,30.08
19191,34.47
19191,33.01
19191,32.52
19191,32.52
19191,31.05
19191,34.47
19191,34.47
19191,33.01
19191,33.01
19191,31.54
19191,33.98
19191,32.52
19191,32.03
19191,33.5
19191,32.52
19191,32.03
19191,33.98
19191,32.52
19191,31.54
19191,33.01
19191,33.5
19191,33.5
19191,33.01
19191,33.01
19191,32.03
19191,31.54
19191,33.98
19191,32.03
19191,32.03
19191,32.52
19191,33.01
19191,31.05
19191,33.01
19191,32.52
19191,32.52
19191,32.03
19191,33.5
19191,31.05
19191,33.98
19191,33.01
19191,33.01
19191,31.54
19191,33.01
19191,31.05
19191,33.98
19191,31.54
19191,32.03
19191,34.96
19191,32.52
19191,33.01
19191,32.52
19191,33.98
19191,31.05
19191,33.01
19191,33.01
19191,33.98
19191,32.52
19191,33.98
19191,32.52
19191,33.01
19191,33.01
19191,33.01
19191,33.5
19191,32.03
19191,31.05
19191,31.54
19191,33.98
19191,33.98
19191,30.57
19191,32.52
19191,33.01
19191,34.47
19191,33.01
19191,32.03
19191,33.01
19191,32.52
19191,31.54
19191,32.03
19191,33.01
19191,31.54
19191,32.52
19191,34.96
19191,34.47
19191,33.5
19191,34.47
19191,33.01
19191,34.47
19191,31.54
19191,32.03
19191,32.52
19191,32.03
19191,31.54
19191,33.01
19191,32.52
19191,34.96
19191,32.03
19191,33.01
19191,31.54
19191,32.03
19191,36.43
19191,33.5
19191,33.5
19191,33.01
19191,33.98
19191,32.52
19191,31.05
19191,35.45
19191,33.01
19191,32.52
19191,32.52
19191,33.98
19191,32.03
19191,34.47
19191,33.01
19191,32.03
19191,32.52
19191,31.54
19191,30.57
19191,33.01
19191,34.47
19191,33.98
19191,32.03
19191,32.52
19191,30.57
19191,31.54
19191,30.57
19191,31.05
19191,33.5
19191,33.5
19191,31.54
19191,33.5
19191,33.5
19191,31.05
19191,33.01
19191,33.01
19191,32.52
19191,32.52
19191,33.01
19191,33.98
19191,33.5
19191,34.96
19191,33.5
19191,31.05
19191,34.96
19191,32.52
19191,33.01
19191,32.03
19191,34.47
19191,32.52
19191,33.98
19191,33.98
19191,32.52
19191,34.96
19191,33.5
19191,34.47
19191,33.5
19191,32.52
19191,33.01
19191,33.98
19191,31.54
19191,34.47
19191,31.05
19191,33.5
19191,32.52
19191,33.5
19191,31.05
19191,31.54
19191,33.98
19191,32.52
19191,32.52
19191,32.52
19191,32.52
19191,34.47
19191,32.03
19191,32.03
19191,33.01
19191,32.03
19191,34.47
19191,33.5
19191,33.01
19191,32.03
19191,33.01
19191,33.98
19191,32.52
19191,33.98
19191,33.98
19191,33.01
19191,34.96
19191,32.03
19191,31.54
19191,36.43
19191,33.5
19191,35.45
19191,31.05
19191,31.54
19191,34.96
19191,33.98
19191,31.54
19191,33.98
19191,33.01
19191,33.5
19191,35.45
19191,33.01
19191,33.01
19191,31.54
19191,32.52
19191,32.52
19191,32.03
19191,35.45
19191,32.52
19191,32.52
19191,32.52
19191,32.52
19191,33.98
19191,32.52
19191,32.52
19191,31.05
19191,32.03
19191,33.98
19191,31.05
19191,34.47
19191,33.5
19191,33.98
19191,33.5
19191,32.52
19191,33.01
19191,32.52
19191,31.05
19191,32.03
19191,33.01
19191,32.52
19191,32.52
19191,33.5
19191,33.01
19191,33.98
19191,32.52
19191,32.52
19191,33.5
19191,34.47
19191,32.03
19191,32.03
19191,31.54
19191,32.52
19191,31.05
19191,33.01
19191,31.05
19191,32.52
19191,33.5
19191,32.03
19191,30.57
19191,31.54
19191,33.01
19191,33.01
19191,33.01
19191,31.05
19191,33.98
19191,32.52
19191,32.03
19191,33.5
19191,33.01
19191,32.52
19191,30.57
19191,32.52
19191,34.47
19191,32.03
19191,32.52
19191,32.52
19191,32.52
19191,32.03
19191,34.96
19191,31.54
19191,33.01
19191,33.98
19191,32.52
19191,33.5
19191,34.47
19191,32.52
19191,32.03
19191,31.05
19191,32.52
19191,31.54
19191,34.96
19191,32.03
19191,33.5
19191,33.98
19191,32.52
19191,31.54
19191,33.01
19191,33.01
19191,33.98
19191,33.5
19191,32.03
19191,33.01
19191,34.47
19191,34.47
19191,31.05
19191,35.94
19191,33.98
19191,31.54
19191,33.5
19191,33.01
19191,33.01
19191,33.01
19191,33.01
19191,32.52
19191,31.05
19191,33.01
19191,33.98
19191,32.03
19191,33.98
19191,33.5
19191,31.54
19191,31.54
19191,34.96
19191,32.52
19191,33.01
19191,32.03
19191,35.45
19191,31.54
19191,33.98
19191,33.5
19191,32.03
19191,31.05
19191,31.54
19191,35.45
19191,32.52
19191,32.52
19191,31.05
19191,34.96
19191,32.03
19191,35.45
19191,33.01
19191,33.5
19191,33.98
19191,31.54
19191,32.03
19191,32.52
19191,36.43
19191,31.05
19191,32.52
19191,33.98
19191,33.98
19191,32.03
19191,33.98
19191,34.96
19191,33.98
19191,32.52
19191,32.52
19191,31.54
19191,33.5
19191,33.5
19191,33.98
19191,31.54
19191,33.01
19191,34.47
19191,32.52
19191,33.5
19191,33.01
19191,31.54
19191,33.01
19191,32.52
19191,32.03
19191,30.08
19191,32.52
19191,33.5
19191,34.96
19191,32.03
19191,33.5
19191,33.01
19191,31.05
19191,33.5
19191,32.03
19191,33.5
19191,33.01
19191,33.01
19191,33.01
19191,31.54
19191,32.03
19191,32.52
19191,33.01
19191,35.45
19191,33.5
19191,33.98
19191,33.98
19191,33.98
19191,32.52
19191,33.01
19191,33.01
19191,33.01
19191,32.03
19191,33.5
19191,32.03
19191,32.52
19191,33.01
19191,34.47
19191,33.5
19191,33.98
19191,33.5
19191,32.52
19191,33.5
19191,32.52
19191,33.5
19191,32.52
19191,33.5
19191,32.03
19191,33.01
19191,32.03
19191,31.54
19191,33.5
19191,33.01
19191,31.54
19191,30.57
19191,33.01
19191,33.5
19191,31.54
19191,31.54
19191,33.01
19191,33.01
19191,33.01
19191,32.52
19191,33.5
19191,34.47
19191,33.01
19191,32.52
19191,33.5
19191,34.47
19191,33.5
19191,32.03
19191,32.03
19191,32.03
19191,30.57
19191,34.47
19191,35.45
19191,34.96
19191,31.54
19191,35.45
19191,32.03
19191,31.54
19191,33.5
19191,33.5
19191,32.03
19191,32.52
19191,33.01
19191,32.52
19191,33.01
19191,32.03
19191,33.5
19191,33.01
19191,34.47
19191,32.03
19191,35.45
19191,33.01
19191,32.52
19191,32.52
19191,31.05
19191,33.98
19191,34.96
19191,31.54
19191,32.52
19191,31.54
19191,32.52
19191,33.5
19191,34.47
19191,31.54
19191,32.03
19191,32.03
19191,32.03
19191,34.96
19191,33.98
19191,33.5
19191,33.5
19191,33.98
19191,32.03
19191,34.96
19191,34.96
19191,31.54
19191,34.47
19191,32.03
19191,32.03
19191,36.43
19191,32.52
19191,33.5
19191,34.96
19191,34.96
19191,33.5
19191,33.01
19191,31.54
19191,33.98
19191,32.52
19191,36.43
19191,33.01
19191,32.52
19191,33.01
19191,33.5
19191,32.03
19191,34.47
19191,33.01
19191,34.96
19191,34.96
19191,31.54
19191,33.5
19191,33.5
19191,34.47
19191,31.54
19191,34.47
19191,34.47
19191,34.47
19191,33.01
19191,33.5
19191,33.5
19191,33.5
19191,32.52
19191,33.01
19191,33.01
19191,35.45
19191,35.45
19191,34.96
19191,31.05
19191,34.47
19191,35.94
19191,33.5
19191,34.96
